SO Name,Brill Master 2013_2013,,,,,,,,,,,,,,,,,,,
SO Identifier,brill_master_2013_2013,,,,,,,,,,,,,,,,,,,
Provider,Brill,,,,,,,,,,,,,,,,,,,
Package Identifier,2013 Master,,,,,,,,,,,,,,,,,,,
Package Name,2013 Master,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2013,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,
Consortium,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Journal of Pentecostal Theology,0966-7369,1745-5251,1992-10,1,1,,,,17455251,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/17455251,Brill Online Books and Journals,administrative,
Journal of Persianate Studies,1874-7094,1874-7167,2008-06,1,1,,,,18747167,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/18747167,Brill Online Books and Journals,administrative,
Journal of Phenomenological Psychology,0047-2662,1569-1624,1970-01,1,1,,,,15691624,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15691624,Brill Online Books and Journals,administrative,
Journal of Reformed Theology,1872-5163,1569-7312,2007-03,1,1,,,,15697312,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15697312,Brill Online Books and Journals,administrative,
Journal of Religion in Africa,0022-4200,1570-0666,1967-01,1,1,,,,15700666,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15700666,Brill Online Books and Journals,administrative,
Journal of Religion in Europe,1874-8910,1874-8929,2008-03,1,1,,,,18748929,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/18748929,Brill Online Books and Journals,administrative,
Journal of Religion in Japan,2211-8330,2211-8349,2012-01,1,1,,,,22118349,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22118349,Brill Online Books and Journals,administrative,
Journal of Sufi Studies,2210-5948,2210-5956,2012-01,1,1,,,,22105956,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22105956,Brill Online Books and Journals,administrative,
Journal of the Economic and Social History of the Orient,0022-4995,1568-5209,1957-01,1,1,,,,15685209,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15685209,Brill Online Books and Journals,administrative,
Journal of the History of International Law / Revue d'histoire du droit international,1388-199X,1571-8050,1999-01,1,1,,,,15718050,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15718050,Brill Online Books and Journals,administrative,
Journal of the Philosophy of History,1872-261X,1872-2636,2007-04,1,1,,,,18722636,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/18722636,Brill Online Books and Journals,administrative,
Korean Journal of International and Comparative Law ,2213-4478,2213-4484,,,,,,,22134484,,full text,new 2013. no online content yet available,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22134484,Brill Online Books and Journals,administrative,
KronoScope,1567-715x,1568-5241,2001-06,1,1,,,,15685241,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15685241,Brill Online Books and Journals,administrative,
Language Dynamics and Change,2210-5824,2210-5832,2011-06,1,1,,,,22105832,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22105832,Brill Online Books and Journals,administrative,
