"Title"	"Author(s)"	"Editor(s)"	"Importance"	"ISBN10"	"ISBN13"	"Date of Publication"	"Publisher"	"Web Address"	"Time Period"	"CKEY"
"Crime online"	"Jewkes, Yvonne"		"Essential reading"		9781843925828	2007	"Willan"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843925828"	1516	
"Dictionary of youth justice"	"Goldson, Barry"		"Essential reading"		9781843925972	2008	"Willan"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843925972"	1516	
"Dictionary of prisons and punishment"	"Jewkes, Yvonne; Bennett, Jamie"		"Essential reading"		9781843926009	2008	"Willan"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843926009"	1516	
"Expanding the criminological imagination: critical readings in criminology"	"Barton; Alana"		"Essential reading"		9781843926047	2007	"Willan"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843926047"	1516	
"Handbook of forensic mental health"	"Soothill; Keith; Dolan; Mairead; Rogers; Paul"		"Essential reading"	"1843922622; 1843922614"	"9781843922629; 9781843922612"	2008	"Willan"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843926207"	1516	
"Handbook of policing"	"Newburn, Tim"		"Essential reading"		9781843926214	2008	"Willan Publishing"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843926214"	1516	
"Imaginary penalties"	"Carlen; Pat"		"Essential reading"		9781843926252	2008	"Willan"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843926252"	1516	
"Introducing criminology"	"Coleman, Clive; Norris, Clive"		"Essential reading"		9781843926290	"c2000"	"Willan"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843926290"	1516	
"Issues in green criminology: confronting harms against environments, humanity and other animals"	"Beirne, Piers; South, Nigel"		"Essential reading"		9781843926344	2007	"Willan"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843926344"	1516	
"Policing Northern Ireland: conflict, legitimacy and reform"	"Mulcahy, AognÌ€"		"Essential reading"		9781843926528	2006	"Willan"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843926528"	1516	
"Policing public disorder: theory and practice"	"Waddington, David P."		"Essential reading"		9781843926535	2007	"Willan"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843926535"	1516	
"Reluctant gangsters: the changing shape of youth crime"	"Pitts, John"		"Essential reading"		9781843926672	2008	"Willan"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781843926672"	1516	
