SO Name,Wiley Online Library Full Collection 2012_2014 NESLI2,,,,,,,,,,,,,,,,,,,
SO Identifier,wiley_Full Collection_2012_2014_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Wiley,,,,,,,,,,,,,,,,,,,
Package Identifier,Full Collection,,,,,,,,,,,,,,,,,,,
Package Name,Full Collection,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2014,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,0002-9483,1096-8644,1997,,,,,,,,,,,10.1002/(ISSN)1096-8644,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-8644,Wiley Online Library,administrative,
AMERICAN JOURNAL OF POLITICAL SCIENCE,0092-5853,1540-5907,2003,47,,,,,,,,,,10.1111/(ISSN)1540-5907,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-5907,Wiley Online Library,administrative,
AMERICAN JOURNAL OF PRIMATOLOGY,0275-2565,1098-2345,1997,,,,,,,,,,,10.1002/(ISSN)1098-2345,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2345,Wiley Online Library,administrative,
AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY,1046-7408,1600-0897,2000,43,,,,,,,,,,10.1111/(ISSN)1600-0897,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0897,Wiley Online Library,administrative,
AMERICAN JOURNAL OF TRANSPLANTATION,1600-6135,1600-6143,2001,1,,,,,,,,free back issues after 1 year back to 2001,,10.1111/(ISSN)1600-6143,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-6143,Wiley Online Library,administrative,
ANAESTHESIA,0003-2409,1365-2044,1997,52,,,,,,,,,,10.1111/(ISSN)1365-2044,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2044,Wiley Online Library,administrative,
ANALYSES OF SOCIAL ISSUES & PUBLIC POLICY,1529-7489,1530-2415,2001,1,,,,,,,,,,10.1111/(ISSN)1530-2415,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1530-2415,Wiley Online Library,administrative,
ANALYTIC PHILOSOPHY,2153-9596,2153-960X,1997,38,,,,,,,,,,10.1111/(ISSN)1468-0149,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0149,Wiley Online Library,administrative,
"ANATOMIA, HISTOLOGIA, EMBRYOLOGIA",0340-2096,1439-0264,1997,26,,,,,,,,,,10.1111/(ISSN)1439-0264,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0264,Wiley Online Library,administrative,
ANDROLOGIA (ELECTRONIC),0303-4569,1439-0272,1997,29,,,,,,,,,,10.1111/(ISSN)1439-0272,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0272,Wiley Online Library,administrative,
